theta_rad,i_A
0.00000000,0.00000000
0.00000000,0.50000000
0.00000000,1.00000000
0.00000000,1.50000000
0.00000000,2.00000000
0.00000000,2.50000000
0.00000000,3.00000000
0.00000000,3.50000000
0.00000000,4.00000000
0.00000000,4.50000000
0.00000000,5.00000000
0.00000000,5.50000000
0.00000000,6.00000000
0.00000000,6.50000000
0.00000000,7.00000000
0.00000000,7.50000000
0.00000000,8.00000000
0.00000000,8.50000000
0.00000000,9.00000000
0.00000000,9.50000000
0.00000000,10.00000000
0.00000000,10.50000000
0.00000000,11.00000000
0.00000000,11.50000000
0.00000000,12.00000000
0.00000000,12.50000000
0.00000000,13.00000000
0.00000000,13.50000000
0.00000000,14.00000000
0.00000000,14.50000000
0.00000000,15.00000000
0.00000000,15.50000000
0.00000000,16.00000000
0.00000000,16.50000000
0.00000000,17.00000000
0.00000000,17.50000000
0.00000000,18.00000000
0.00000000,18.50000000
0.00000000,19.00000000
0.00000000,19.50000000
0.00000000,20.00000000
0.10471976,0.00000000
0.10471976,0.50000000
0.10471976,1.00000000
0.10471976,1.50000000
0.10471976,2.00000000
0.10471976,2.50000000
0.10471976,3.00000000
0.10471976,3.50000000
0.10471976,4.00000000
0.10471976,4.50000000
0.10471976,5.00000000
0.10471976,5.50000000
0.10471976,6.00000000
0.10471976,6.50000000
0.10471976,7.00000000
0.10471976,7.50000000
0.10471976,8.00000000
0.10471976,8.50000000
0.10471976,9.00000000
0.10471976,9.50000000
0.10471976,10.00000000
0.10471976,10.50000000
0.10471976,11.00000000
0.10471976,11.50000000
0.10471976,12.00000000
0.10471976,12.50000000
0.10471976,13.00000000
0.10471976,13.50000000
0.10471976,14.00000000
0.10471976,14.50000000
0.10471976,15.00000000
0.10471976,15.50000000
0.10471976,16.00000000
0.10471976,16.50000000
0.10471976,17.00000000
0.10471976,17.50000000
0.10471976,18.00000000
0.10471976,18.50000000
0.10471976,19.00000000
0.10471976,19.50000000
0.10471976,20.00000000
0.20943951,0.00000000
0.20943951,0.50000000
0.20943951,1.00000000
0.20943951,1.50000000
0.20943951,2.00000000
0.20943951,2.50000000
0.20943951,3.00000000
0.20943951,3.50000000
0.20943951,4.00000000
0.20943951,4.50000000
0.20943951,5.00000000
0.20943951,5.50000000
0.20943951,6.00000000
0.20943951,6.50000000
0.20943951,7.00000000
0.20943951,7.50000000
0.20943951,8.00000000
0.20943951,8.50000000
0.20943951,9.00000000
0.20943951,9.50000000
0.20943951,10.00000000
0.20943951,10.50000000
0.20943951,11.00000000
0.20943951,11.50000000
0.20943951,12.00000000
0.20943951,12.50000000
0.20943951,13.00000000
0.20943951,13.50000000
0.20943951,14.00000000
0.20943951,14.50000000
0.20943951,15.00000000
0.20943951,15.50000000
0.20943951,16.00000000
0.20943951,16.50000000
0.20943951,17.00000000
0.20943951,17.50000000
0.20943951,18.00000000
0.20943951,18.50000000
0.20943951,19.00000000
0.20943951,19.50000000
0.20943951,20.00000000
0.31415927,0.00000000
0.31415927,0.50000000
0.31415927,1.00000000
0.31415927,1.50000000
0.31415927,2.00000000
0.31415927,2.50000000
0.31415927,3.00000000
0.31415927,3.50000000
0.31415927,4.00000000
0.31415927,4.50000000
0.31415927,5.00000000
0.31415927,5.50000000
0.31415927,6.00000000
0.31415927,6.50000000
0.31415927,7.00000000
0.31415927,7.50000000
0.31415927,8.00000000
0.31415927,8.50000000
0.31415927,9.00000000
0.31415927,9.50000000
0.31415927,10.00000000
0.31415927,10.50000000
0.31415927,11.00000000
0.31415927,11.50000000
0.31415927,12.00000000
0.31415927,12.50000000
0.31415927,13.00000000
0.31415927,13.50000000
0.31415927,14.00000000
0.31415927,14.50000000
0.31415927,15.00000000
0.31415927,15.50000000
0.31415927,16.00000000
0.31415927,16.50000000
0.31415927,17.00000000
0.31415927,17.50000000
0.31415927,18.00000000
0.31415927,18.50000000
0.31415927,19.00000000
0.31415927,19.50000000
0.31415927,20.00000000
0.41887902,0.00000000
0.41887902,0.50000000
0.41887902,1.00000000
0.41887902,1.50000000
0.41887902,2.00000000
0.41887902,2.50000000
0.41887902,3.00000000
0.41887902,3.50000000
0.41887902,4.00000000
0.41887902,4.50000000
0.41887902,5.00000000
0.41887902,5.50000000
0.41887902,6.00000000
0.41887902,6.50000000
0.41887902,7.00000000
0.41887902,7.50000000
0.41887902,8.00000000
0.41887902,8.50000000
0.41887902,9.00000000
0.41887902,9.50000000
0.41887902,10.00000000
0.41887902,10.50000000
0.41887902,11.00000000
0.41887902,11.50000000
0.41887902,12.00000000
0.41887902,12.50000000
0.41887902,13.00000000
0.41887902,13.50000000
0.41887902,14.00000000
0.41887902,14.50000000
0.41887902,15.00000000
0.41887902,15.50000000
0.41887902,16.00000000
0.41887902,16.50000000
0.41887902,17.00000000
0.41887902,17.50000000
0.41887902,18.00000000
0.41887902,18.50000000
0.41887902,19.00000000
0.41887902,19.50000000
0.41887902,20.00000000
0.52359878,0.00000000
0.52359878,0.50000000
0.52359878,1.00000000
0.52359878,1.50000000
0.52359878,2.00000000
0.52359878,2.50000000
0.52359878,3.00000000
0.52359878,3.50000000
0.52359878,4.00000000
0.52359878,4.50000000
0.52359878,5.00000000
0.52359878,5.50000000
0.52359878,6.00000000
0.52359878,6.50000000
0.52359878,7.00000000
0.52359878,7.50000000
0.52359878,8.00000000
0.52359878,8.50000000
0.52359878,9.00000000
0.52359878,9.50000000
0.52359878,10.00000000
0.52359878,10.50000000
0.52359878,11.00000000
0.52359878,11.50000000
0.52359878,12.00000000
0.52359878,12.50000000
0.52359878,13.00000000
0.52359878,13.50000000
0.52359878,14.00000000
0.52359878,14.50000000
0.52359878,15.00000000
0.52359878,15.50000000
0.52359878,16.00000000
0.52359878,16.50000000
0.52359878,17.00000000
0.52359878,17.50000000
0.52359878,18.00000000
0.52359878,18.50000000
0.52359878,19.00000000
0.52359878,19.50000000
0.52359878,20.00000000
0.62831853,0.00000000
0.62831853,0.50000000
0.62831853,1.00000000
0.62831853,1.50000000
0.62831853,2.00000000
0.62831853,2.50000000
0.62831853,3.00000000
0.62831853,3.50000000
0.62831853,4.00000000
0.62831853,4.50000000
0.62831853,5.00000000
0.62831853,5.50000000
0.62831853,6.00000000
0.62831853,6.50000000
0.62831853,7.00000000
0.62831853,7.50000000
0.62831853,8.00000000
0.62831853,8.50000000
0.62831853,9.00000000
0.62831853,9.50000000
0.62831853,10.00000000
0.62831853,10.50000000
0.62831853,11.00000000
0.62831853,11.50000000
0.62831853,12.00000000
0.62831853,12.50000000
0.62831853,13.00000000
0.62831853,13.50000000
0.62831853,14.00000000
0.62831853,14.50000000
0.62831853,15.00000000
0.62831853,15.50000000
0.62831853,16.00000000
0.62831853,16.50000000
0.62831853,17.00000000
0.62831853,17.50000000
0.62831853,18.00000000
0.62831853,18.50000000
