# Вариант 1. Скорость 300 об/мин, задание тока 10 А, углы 10/150 эл. град, Udc 540 В, R фазы 0,6 Ом (паспорт)
# t_s,theta_mech_sensor_rad,ia_A,ib_A,ic_A,ua_V,ub_V,uc_V
0.000000,0.00000,-0.015,-0.016,0.015,0,0,0
0.000020,0.00063,0.027,-0.007,-0.069,0,0,0
0.000040,0.00126,0.009,-0.058,0.068,0,0,0
0.000060,0.00188,-0.031,-0.041,0.072,0,0,0
0.000080,0.00251,0.050,-0.022,-0.001,0,0,0
0.000100,0.00314,0.065,-0.030,0.013,0,0,0
0.000120,0.00377,-0.033,0.064,-0.009,0,0,0
0.000140,0.00440,0.034,0.029,-0.098,0,0,0
0.000160,0.00503,-0.001,0.047,-0.018,0,0,0
0.000180,0.00565,-0.031,-0.001,0.083,0,0,0
0.000200,0.00628,0.070,0.011,0.081,0,0,0
0.000220,0.00691,0.090,-0.050,-0.123,0,0,0
0.000240,0.00754,0.010,-0.055,-0.012,0,0,0
0.000260,0.00817,0.146,0.047,-0.047,0,0,0
0.000280,0.00880,0.065,-0.043,-0.089,0,0,0
0.000300,0.00942,0.055,0.038,-0.010,0,0,0
0.000320,0.01005,0.019,0.004,0.007,0,0,0
0.000340,0.01068,0.005,-0.024,0.018,0,0,0
0.000360,0.01131,-0.031,-0.028,-0.027,0,0,0
0.000380,0.01194,0.074,0.104,-0.061,0,0,0
0.000400,0.01257,0.035,-0.004,-0.067,0,0,0
0.000420,0.01319,0.110,0.041,-0.072,0,0,0
0.000440,0.01382,0.002,0.034,0.076,0,0,0
0.000460,0.01445,0.002,0.013,-0.071,0,0,0
0.000480,0.01508,-0.034,0.045,-0.006,0,0,0
0.000500,0.01571,0.084,-0.006,-0.089,0,0,0
0.000520,0.01634,0.004,0.044,-0.030,0,0,0
0.000540,0.01696,0.079,-0.026,0.023,0,0,0
0.000560,0.01759,0.016,0.022,0.021,0,0,0
0.000580,0.01822,0.038,0.045,0.093,0,0,0
0.000600,0.01885,-0.030,-0.030,0.025,0,0,0
0.000620,0.01948,0.044,0.021,0.045,0,0,0
0.000640,0.02011,0.031,0.067,-0.108,0,0,0
0.000660,0.02073,-0.056,0.006,0.032,0,0,0
0.000680,0.02136,-0.017,0.065,-0.024,0,0,0
0.000700,0.02199,-0.054,0.005,-0.059,0,0,0
0.000720,0.02262,-0.085,-0.043,-0.092,0,0,0
0.000740,0.02325,0.005,-0.009,-0.039,0,0,0
0.000760,0.02388,0.020,-0.049,-0.094,0,0,0
0.000780,0.02450,0.054,0.063,-0.034,0,0,0
0.000800,0.02513,0.019,-0.006,0.074,0,0,0
0.000820,0.02576,-0.055,0.032,0.074,0,0,0
0.000840,0.02639,0.046,0.016,0.162,0,0,0
0.000860,0.02702,-0.019,0.082,0.011,0,0,0
0.000880,0.02765,0.035,-0.054,0.013,0,0,0
0.000900,0.02827,0.012,0.042,0.049,0,0,0
0.000920,0.02890,-0.032,-0.057,0.002,0,0,0
0.000940,0.02953,0.053,0.014,-0.009,0,0,0
0.000960,0.03016,-0.005,-0.019,-0.062,0,0,0
0.000980,0.03079,-0.036,-0.018,-0.061,0,0,0
0.001000,0.03142,0.013,-0.001,0.102,0,0,0
0.001020,0.03204,0.033,-0.071,0.032,0,0,0
0.001040,0.03267,0.050,0.014,-0.019,0,0,0
0.001060,0.03330,0.010,-0.047,-0.009,0,0,0
0.001080,0.03393,0.013,0.032,-0.030,0,0,0
0.001100,0.03456,-0.012,-0.084,0.042,0,0,0
0.001120,0.03519,-0.002,0.051,0.102,0,0,0
0.001140,0.03581,0.025,0.015,-0.112,0,0,0
0.001160,0.03644,-0.022,-0.027,0.026,0,0,0
0.001180,0.03707,-0.039,-0.042,0.010,0,0,0
0.001200,0.03770,0.003,-0.002,-0.011,0,0,0
0.001220,0.03833,0.018,0.071,-0.052,0,0,0
0.001240,0.03896,-0.040,0.020,0.015,0,0,0
0.001260,0.03958,-0.004,-0.046,0.093,0,0,0
0.001280,0.04021,-0.021,0.071,0.044,0,0,0
0.001300,0.04084,-0.040,-0.012,-0.006,0,0,0
0.001320,0.04147,0.017,-0.019,-0.016,0,0,0
0.001340,0.04210,-0.010,0.060,-0.005,0,0,0
0.001360,0.04273,-0.089,0.047,-0.005,0,0,0
0.001380,0.04335,-0.047,0.013,-0.123,0,0,0
0.001400,0.04398,0.962,0.086,0.019,540,0,0
0.001420,0.04461,1.862,-0.062,0.044,540,0,0
0.001440,0.04524,2.650,-0.067,0.036,540,0,0
0.001460,0.04587,3.670,0.063,0.029,540,0,0
0.001480,0.04650,4.541,0.065,-0.046,540,0,0
0.001500,0.04712,5.288,0.055,0.017,540,0,0
0.001520,0.04775,6.319,-0.015,0.034,540,0,0
0.001540,0.04838,7.063,0.012,-0.015,540,0,0
0.001560,0.04901,8.031,-0.028,0.013,540,0,0
0.001580,0.04964,8.950,0.035,0.039,540,0,0
0.001600,0.05027,9.881,-0.106,-0.052,540,0,0
0.001620,0.05089,10.741,0.022,-0.078,540,0,0
0.001640,0.05152,11.176,-0.045,-0.019,0,0,0
0.001660,0.05215,11.201,0.021,0.035,0,0,0
0.001680,0.05278,11.201,-0.083,0.013,0,0,0
0.001700,0.05341,11.170,0.018,0.049,0,0,0
0.001720,0.05404,11.178,-0.056,-0.037,0,0,0
0.001740,0.05466,11.049,-0.015,0.022,0,0,0
0.001760,0.05529,11.124,0.028,-0.029,0,0,0
0.001780,0.05592,11.087,-0.002,-0.079,0,0,0
0.001800,0.05655,11.070,-0.043,-0.073,0,0,0
0.001820,0.05718,11.024,0.012,0.071,0,0,0
0.001840,0.05781,10.986,-0.009,0.039,0,0,0
0.001860,0.05843,11.058,0.050,0.029,0,0,0
0.001880,0.05906,11.005,-0.008,-0.063,0,0,0
0.001900,0.05969,10.978,0.010,-0.053,0,0,0
0.001920,0.06032,11.014,-0.034,-0.130,0,0,0
0.001940,0.06095,11.019,-0.032,-0.070,0,0,0
0.001960,0.06158,10.973,-0.067,-0.005,0,0,0
0.001980,0.06220,10.934,-0.020,0.010,0,0,0
0.002000,0.06283,10.954,0.022,-0.055,0,0,0
0.002020,0.06346,10.948,0.060,0.014,0,0,0
0.002040,0.06409,11.001,0.016,0.064,0,0,0
0.002060,0.06472,10.951,-0.010,-0.002,0,0,0
0.002080,0.06535,10.893,-0.031,0.033,0,0,0
0.002100,0.06597,10.876,0.057,0.167,0,0,0
0.002120,0.06660,10.859,-0.001,-0.065,0,0,0
0.002140,0.06723,10.904,0.010,0.011,0,0,0
0.002160,0.06786,10.879,0.077,0.004,0,0,0
0.002180,0.06849,10.842,-0.037,0.001,0,0,0
0.002200,0.06912,10.845,-0.059,-0.050,0,0,0
0.002220,0.06974,10.842,-0.129,0.034,0,0,0
0.002240,0.07037,10.889,-0.015,0.021,0,0,0
0.002260,0.07100,10.658,-0.066,-0.034,0,0,0
0.002280,0.07163,10.794,-0.047,0.121,0,0,0
0.002300,0.07226,10.741,0.037,-0.010,0,0,0
0.002320,0.07288,10.712,-0.068,-0.079,0,0,0
0.002340,0.07351,10.734,-0.058,0.033,0,0,0
0.002360,0.07414,10.787,0.101,-0.006,0,0,0
0.002380,0.07477,10.777,0.058,-0.063,0,0,0
0.002400,0.07540,10.781,-0.046,0.027,0,0,0
0.002420,0.07603,10.639,-0.039,0.085,0,0,0
0.002440,0.07665,10.662,-0.105,0.086,0,0,0
0.002460,0.07728,10.705,0.035,0.059,0,0,0
0.002480,0.07791,10.643,-0.084,0.002,0,0,0
0.002500,0.07854,10.624,0.081,-0.012,0,0,0
0.002520,0.07917,10.633,0.078,0.030,0,0,0
0.002540,0.07980,10.578,-0.047,0.022,0,0,0
0.002560,0.08042,10.690,0.050,0.023,0,0,0
0.002580,0.08105,10.599,0.051,-0.023,0,0,0
0.002600,0.08168,10.509,0.041,-0.022,0,0,0
0.002620,0.08231,10.613,-0.080,0.055,0,0,0
0.002640,0.08294,10.607,-0.066,-0.085,0,0,0
0.002660,0.08357,10.535,0.098,-0.064,0,0,0
0.002680,0.08419,10.564,-0.028,-0.014,0,0,0
0.002700,0.08482,10.515,0.031,-0.014,0,0,0
0.002720,0.08545,10.579,0.034,-0.008,0,0,0
0.002740,0.08608,10.538,0.044,-0.025,0,0,0
0.002760,0.08671,10.655,-0.042,-0.039,0,0,0
0.002780,0.08734,10.493,-0.070,-0.007,0,0,0
0.002800,0.08796,10.496,-0.008,0.018,0,0,0
0.002820,0.08859,10.486,0.028,-0.040,0,0,0
0.002840,0.08922,10.436,0.079,-0.044,0,0,0
0.002860,0.08985,10.364,-0.053,0.065,0,0,0
0.002880,0.09048,10.312,-0.005,0.022,0,0,0
0.002900,0.09111,10.437,-0.008,0.063,0,0,0
0.002920,0.09173,10.413,-0.009,-0.036,0,0,0
0.002940,0.09236,10.358,0.082,0.068,0,0,0
0.002960,0.09299,10.304,-0.008,-0.054,0,0,0
0.002980,0.09362,10.334,0.024,-0.013,0,0,0
0.003000,0.09425,10.312,-0.106,-0.023,0,0,0
0.003020,0.09488,10.281,-0.046,-0.004,0,0,0
0.003040,0.09550,10.338,-0.048,0.013,0,0,0
0.003060,0.09613,10.336,0.033,-0.023,0,0,0
0.003080,0.09676,10.268,-0.007,0.075,0,0,0
0.003100,0.09739,10.320,-0.024,-0.042,0,0,0
0.003120,0.09802,10.219,-0.058,0.103,0,0,0
0.003140,0.09865,10.254,0.061,0.004,0,0,0
0.003160,0.09927,10.304,0.034,0.051,0,0,0
0.003180,0.09990,10.300,0.000,0.039,0,0,0
0.003200,0.10053,10.327,0.058,-0.054,0,0,0
0.003220,0.10116,10.258,0.031,0.044,0,0,0
0.003240,0.10179,10.249,-0.062,-0.025,0,0,0
0.003260,0.10242,10.230,-0.020,-0.009,0,0,0
0.003280,0.10304,10.238,-0.045,0.035,0,0,0
0.003300,0.10367,10.082,-0.002,0.021,0,0,0
0.003320,0.10430,10.106,0.042,0.049,0,0,0
0.003340,0.10493,10.137,-0.012,-0.015,0,0,0
0.003360,0.10556,10.231,-0.043,0.009,0,0,0
0.003380,0.10619,10.216,-0.009,0.009,0,0,0
0.003400,0.10681,10.065,0.045,0.019,0,0,0
0.003420,0.10744,10.057,0.029,0.060,0,0,0
0.003440,0.10807,10.151,0.032,-0.035,0,0,0
0.003460,0.10870,9.994,0.041,0.056,0,0,0
0.003480,0.10933,10.082,-0.042,0.009,0,0,0
0.003500,0.10996,10.041,0.083,-0.022,0,0,0
0.003520,0.11058,9.977,-0.085,-0.023,0,0,0
0.003540,0.11121,10.018,0.052,0.085,0,0,0
0.003560,0.11184,9.991,-0.063,-0.025,0,0,0
0.003580,0.11247,9.904,0.001,-0.027,0,0,0
0.003600,0.11310,9.935,-0.016,-0.057,0,0,0
0.003620,0.11373,9.912,0.021,-0.058,0,0,0
0.003640,0.11435,10.031,-0.048,0.038,0,0,0
0.003660,0.11498,10.032,-0.110,0.006,0,0,0
0.003680,0.11561,9.860,0.052,-0.014,0,0,0
0.003700,0.11624,9.896,0.058,-0.085,0,0,0
0.003720,0.11687,9.896,-0.049,0.014,0,0,0
0.003740,0.11750,9.899,0.045,-0.121,0,0,0
0.003760,0.11812,9.878,-0.035,0.016,0,0,0
0.003780,0.11875,9.789,0.032,-0.010,0,0,0
0.003800,0.11938,9.845,-0.040,0.064,0,0,0
0.003820,0.12001,9.898,0.005,-0.002,0,0,0
0.003840,0.12064,9.811,-0.008,-0.067,0,0,0
