# rpm;T_mot;on_mot;off_mot;Irms_mot;T_gen;on_gen;off_gen;Irms_gen;P_mot_W
200.000;23.584;30.000;150.000;11.652;-23.900;202.500;332.500;11.798;493.939
400.000;23.544;27.500;147.500;11.678;-23.952;190.000;327.500;11.807;986.195
700.000;23.456;27.500;147.500;11.709;-24.047;177.500;327.500;11.887;1719.438
1000.000;23.374;20.000;140.000;11.737;-24.114;167.500;330.000;11.965;2447.722
1300.000;23.290;20.000;140.000;11.774;-24.181;150.000;325.000;12.036;3170.621
1600.000;22.057;17.500;142.500;11.821;-22.848;142.500;250.000;10.627;3695.639
2000.000;18.985;15.000;135.000;10.870;-20.424;132.500;232.500;10.066;3976.303
2500.000;15.885;15.000;132.500;9.507;-16.642;135.000;237.500;8.888;4158.620
3000.000;13.930;10.000;130.000;8.908;-15.827;125.000;237.500;9.118;4376.177
3500.000;12.542;5.000;127.500;8.537;-14.164;127.500;242.500;8.867;4596.716
4000.000;11.418;0.000;122.500;8.224;-11.347;125.000;242.500;7.973;4782.919
4500.000;8.896;0.000;120.000;7.127;-8.751;125.000;242.500;6.925;4191.957
5000.000;7.070;0.000;120.000;6.290;-6.953;125.000;242.500;6.119;3701.949
